Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oman,OMN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22050,23390,24390,25400,25980,27280,28180,30220,31070,31520,33930,35810,34580,34260,35090,35550,35200,36870,38840,37910,39300,35270,34920,33690,,
Other small states,OSS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290.243893,3537.429332,3594.835831,3692.927359,3728.757511,3943.17888,4095.731652,4437.102553,4563.700337,4581.7875,4669.818167,4898.453373,5012.746194,5185.226953,5450.400845,6021.702963,6757.555061,7413.353787,7779.362958,7291.388308,7492.541155,8140.549487,8446.040693,8662.676093,8761.430212,
Pakistan,PAK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060,2140,2260,2290,2350,2470,2550,2540,2570,2640,2740,2800,2920,3140,3370,3660,3920,4120,4200,4290,4370,4520,4690,4860,5090,
Panama,PAN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4610,5020,5480,5920,6160,6160,6400,6740,7110,7260,7540,7620,8020,8050,8590,9340,11880,13350,14470,14860,15580,15530,16890,19590,19930,
Peru,PER,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3380,3370,3530,3990,4290,4470,4780,4790,4870,5010,5130,5390,5600,5850,6250,6710,7420,8240,8310,8950,9570,10330,11080,11440,
Philippines,PHL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2590,2630,2700,2840,2980,3160,3360,3580,3650,3930,4080,4220,4570,4940,5370,5710,6140,6490,6830,7360,6890,7410,8000,8450,
Palau,PLW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10650,9910,9000,9180,10450,11510,11680,11420,11190,9660,10370,11070,10900,11880,12490,12580,12850,12320,11250,11540,12490,13230,13080,14280,
Papua New Guinea,PNG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1110,1180,1400,1500,1470,1520,1480,1400,1390,1380,1350,1340,1300,1370,1510,1490,1780,1890,1930,1990,2240,2410,2540,2790,
Poland,POL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610,5800,6180,6850,7430,8120,8850,9450,9990,10700,11100,11700,12070,12670,13580,14860,16420,17750,18540,20200,21830,22850,23730,24430,
Puerto Rico,PRI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11540,11940,12230,12830,13310,13930,14480,15090,15660,16460,17280,18690,18890,19650,20730,21830,22710,23170,23060,22490,22060,22350,23230,23960,,
"Korea, Dem. People’s Rep.",PRK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11180,12110,12590,12620,12930,13780,14240,14990,15720,16720,17510,18220,18990,19580,19990,21730,23110,24420,25080,25250,26040,26410,26470,27550,28370,
Paraguay,PRY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,4650,4660,4610,4510,4170,4220,4330,4130,4410,4590,5080,5740,6220,5850,6640,7120,6940,8010,8470,
Pacific island small states,PSS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711.335624,2721.487726,2856.468361,2916.875208,3039.570268,3222.096136,3337.773427,3444.014359,3480.627447,3682.730287,3797.765816,3848.150398,3985.574068,4047.269449,4311.337781,4493.497732,4518.572066,4637.40827,4705.54645,4610.049713,4662.675499,4701.63779,4863.24995,5167.512913,5347.913944,
French Polynesia,PYF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97910,89130,106530,108260,109610,103620,112150,123640,126730,130740,134420,
Romania,ROU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170,4710,4420,4590,4880,5340,5670,5450,5250,5360,5690,6470,7020,7620,8540,9300,11040,12810,15580,15570,16330,17330,18630,19150,19950,
Russian Federation,RUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,7820,6790,6350,5710,5560,5440,5580,5220,5680,6650,7270,7880,8970,10010,11540,14480,16280,19600,18760,19860,21850,22720,21660,22160,
Rwanda,RWA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,570,650,640,350,490,540,580,590,600,630,670,750,760,830,900,990,1070,1170,1220,1290,1380,1490,1540,1630,
South Asia,SAS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.849038,1234.074734,1304.705832,1365.23216,1447.293602,1549.667562,1650.579585,1707.241317,1785.518063,1916.055139,1997.391125,2095.23915,2177.312412,2345.976076,2546.90878,2812.064746,3097.492002,3420.532505,3564.712274,3809.209249,4127.222401,4409.774222,4645.964985,4951.425172,5298.120323,
Saudi Arabia,SAU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24400,26230,26950,26570,26120,26260,26850,27380,27830,27320,28080,27920,27610,29280,32260,35170,37430,39410,42590,42740,43930,48160,50450,51320,,
Sudan,SDN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,1050,1140,1210,1240,1310,1410,1560,1590,1600,1670,1750,1840,1940,2010,2180,2430,2680,2870,2880,2930,3340,3720,3810,3920,
Senegal,SEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,1190,1220,1210,1200,1260,1300,1320,1390,1450,1500,1560,1550,1650,1750,1850,1920,2010,2080,2060,2120,2130,2190,2210,2300,
Singapore,SGP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21960,23410,25270,27530,30920,32960,34160,37360,35520,37830,40700,39960,41150,44180,47290,51490,57830,62390,60530,58750,70200,73240,74740,77840,80270,
Solomon Islands,SLB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,890,940,890,970,1030,1000,1610,1610,1590,1370,1260,1200,1280,1360,1430,1550,1540,1490,1200,1300,1500,1870,2090,2020,
Sierra Leone,SLE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,860,690,770,720,730,780,760,750,740,790,730,890,950,990,1020,1080,1240,1340,1370,1330,1440,1450,1770,1770,
El Salvador,SLV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,3010,3300,3590,3860,4150,4250,4450,4640,4790,4990,5170,5320,5500,5730,6100,6540,6960,7200,6940,7120,7390,7570,7770,8000,
San Marino,SMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5620,5820,5190,5780,6220,6730,7170,8040,8750,9760,10240,11570,11610,11550,12290,12550,13100,13040,
Sub-Saharan Africa (developing only),SSA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508.834882,1517.077783,1499.737612,1498.017066,1523.464714,1577.7481,1657.157422,1700.707591,1705.658585,1727.016247,1765.741272,1836.575291,1875.441241,1945.726414,2177.212337,2297.962625,2521.994117,2637.323591,2746.333725,2785.508995,2931.792585,3042.083189,3137.234321,3254.483571,3382.57837,
South Sudan,SSD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,2640,2610,2230,1740,1850,1800,
Sub-Saharan Africa (all income levels),SSF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508.787499,1517.07771,1500.05807,1498.478675,1523.866768,1578.058233,1657.95209,1703.957476,1709.316233,1732.325672,1770.321282,1841.124433,1881.487363,1951.148198,2183.952867,2310.680328,2543.20771,2660.860188,2769.17316,2800.851823,2945.209817,3058.608209,3155.241667,3270.099372,3396.498526,
Small states,SST,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3874.536516,4104.93424,4197.632563,4370.232401,4455.794679,4681.482532,4896.816437,5149.9237,5286.824122,5395.733311,5567.04533,5786.6186,5988.660925,6286.746842,6645.530966,7230.660367,8010.091069,8632.557162,8986.475152,8505.454578,8673.975521,9085.972448,9384.495539,9635.751653,9958.025426,
Sao Tome and Principe,STP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,1660,1790,1870,2030,2340,2440,2560,2620,2710,2830,2930,3040,3140,
Suriname,SUR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6690,6950,7020,,6820,6990,7130,7450,7520,6990,7610,7240,8190,8850,9860,10800,11640,12530,13190,13510,14090,14850,15630,16640,17040,
Slovak Republic,SVK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8510,9270,9960,10510,10510,11100,12240,13090,13210,14390,16070,18240,20800,23400,23010,23940,24260,25550,26930,27410,
Slovenia,SVN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13370,14150,15140,16010,17070,17910,18860,20030,20800,22450,23750,25640,27130,28920,27140,27350,28290,28280,28930,30360,
Sweden,SWE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19860,20020,19870,19690,21100,22390,23260,24200,25380,27130,29380,29830,30860,32600,34450,34800,38460,42000,43580,40680,42980,45020,45880,46420,46870,
Swaziland,SWZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,4430,4590,4610,4520,5020,5370,5500,5350,5600,5550,5980,5720,5790,6230,6970,6890,7280,7360,7220,7010,7230,7380,7450,7880,
Sint Maarten (Dutch part),SXM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,9310,10150,10860,10990,10580,11240,12760,13530,13650,13870,14200,13140,13270,14320,16020,17690,18380,17630,17880,18840,20990,22800,24320,24810,
Syrian Arab Republic,SYR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,780,840,680,750,760,760,780,830,800,780,850,890,860,1150,1350,1340,1410,1400,1620,1820,1810,1950,1980,2070,
Togo,TGO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,860,820,690,770,840,930,1050,1020,1020,1010,990,980,1020,1040,1050,1100,1130,1020,1040,1050,1070,1120,1170,1290,
Thailand,THA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240,4700,5110,5640,6170,6730,7130,6940,6340,6710,7170,7440,7870,8460,9130,9740,10570,11450,11880,11840,12720,13350,14250,14580,14870,
Tajikistan,TJK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2210,1570,1310,1020,890,720,770,810,840,900,990,1100,1200,1370,1480,1590,1750,1910,1940,2050,2220,2370,2530,2660,
Turkmenistan,TKM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4450,3770,3400,3620,3300,3450,3970,3980,4340,4380,4640,4940,5390,6360,7170,8070,8440,8990,10060,11050,13010,14520,
Timor-Leste,TLS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1870,2080,1710,1690,2090,3230,4560,7120,5300,6020,7560,7780,6980,5080,
Tonga,TON,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370,2580,2620,2780,3080,3170,3230,3280,3450,3590,3700,3860,4090,4200,4340,4460,4600,4510,4670,4720,5010,5180,5260,5180,5270,
Trinidad and Tobago,TTO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7230,7820,7900,7710,8000,8420,9130,10230,11290,12330,13270,14330,15770,18060,20070,22190,25670,27660,29040,27570,27800,26020,26550,27490,31970,
Tunisia,TUN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550,3700,3980,4050,4190,4340,4640,4950,5200,5530,5830,6150,6260,6650,7180,7510,8100,8720,9130,9480,9800,9700,10230,10570,11020,
Turkey,TUR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,4470,4780,5210,4900,5310,5730,6180,8610,8180,9170,8500,8610,8750,10130,11370,12860,13880,15010,14450,16010,17690,18470,19140,19560,
Tuvalu,TUV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4750,5890,4130,4590,4570,4620,5420,5430,5620,5050,5120,5160,5260,5410,
Tanzania,TZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,940,930,930,940,970,1020,1050,1070,1120,1170,1210,1310,1380,1480,1600,1710,1820,1910,1960,2050,2190,2250,2390,2510,
Uganda,UGA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,520,520,570,600,670,720,750,770,820,830,850,920,970,1020,1080,1200,1290,1390,1450,1500,1620,1660,1680,1720,
Ukraine,UKR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6930,6540,5890,5050,4070,3640,3380,3360,3340,3390,3700,4230,4570,5160,5980,6390,7090,7910,8340,7110,7570,8090,8330,8380,8560,
Upper middle income,UMC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725.466387,2842.76888,3018.145232,3320.566065,3525.334417,3700.322098,3951.365859,4195.627425,4404.01436,4585.039756,4942.467446,5194.120024,5522.96445,5895.478712,6515.877408,7176.224179,8033.607381,8987.791558,9747.975041,10121.27121,11032.72487,11884.04673,12684.57912,13363.67816,14225.22463,
Uruguay,URY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6130,6600,7270,7600,8250,8260,8830,9740,10220,10190,10180,9990,9440,9260,9970,11220,12100,13200,14270,14890,16110,17300,18220,19320,20220,
United States,USA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23730,24180,25180,26000,27350,28550,29980,31620,33230,34850,36930,37860,38590,39960,42260,44740,47390,48420,48640,47250,48880,50700,52830,54000,55900,
Uzbekistan,UZB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,1700,1620,1610,1630,1700,1770,1850,1930,2020,2120,2230,2460,2690,2920,3400,3810,3950,4220,4590,5000,5460,5830,
St. Vincent and the Grenadines,VCT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440,3590,3960,4230,4220,4650,4840,5060,5320,5480,5700,5990,6450,6990,7410,7850,8810,8960,9750,9750,9540,9680,10130,10510,10730,
"Venezuela, RB",VEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9190,10230,10640,10690,10390,10880,10840,11450,11400,10820,11290,11670,10460,9680,11510,13120,14750,16480,17230,16350,15970,16620,17540,17700,,
Virgin Islands (U.S.),VIR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,990,1100,1190,1320,1470,1610,1730,1830,1920,2070,2220,2370,2550,2780,3050,3310,3580,3810,3950,4230,4510,4800,5070,5350,
Vanuatu,VUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,1560,1550,1680,1640,1760,1750,1810,2040,2070,2130,2130,1940,2000,2080,2170,2420,2530,2830,2790,2780,2830,2770,2970,3030,
West Bank and Gaza,PSE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190,2310,2390,2920,3740,4370,3720,3360,3220,3500,3780,4300,4180,4160,3770,4350,4350,4670,5300,5080,5000,
World,WLD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5328.107477,5495.415297,5658.702933,5861.357941,6094.037556,6338.494645,6626.561421,6928.009001,7113.321846,7366.775193,7819.026398,8102.121737,8354.730494,8727.201877,9341.049823,9984.318509,10852.89897,11593.59917,12099.2575,12073.39564,12730.91175,13380.69914,13932.99412,14402.41075,14942.38867,
Samoa,WSM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960,3060,3160,3430,3750,3940,4010,4370,4500,4620,5030,5130,4960,5140,5470,5490,5450,5610,
"Yemen, Rep.",YEM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180,2220,2350,2390,2480,2500,2450,2530,2730,2700,2880,3010,3070,3120,3200,3390,3630,3800,3880,4050,4050,3360,3540,3650,,
South Africa,ZAF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6440,6530,6430,6540,6770,6960,7210,7360,7290,7390,7690,7850,8200,8490,9070,9720,10440,10980,11410,11260,11590,11980,12260,12530,12700,
"Congo, Dem. Rep.",COD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,600,600,530,470,450,480,450,440,400,400,380,390,410,440,460,480,510,520,530,560,580,610,630,650,
Zambia,ZMB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370,1340,1330,1450,1340,1370,1460,1500,1460,1530,1590,1680,1740,1870,1930,2050,2180,2310,2560,2880,2990,3220,3520,3580,3690,
Zimbabwe,ZWE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,1670,1510,1540,1670,1670,1870,1900,1920,1930,1890,1960,1810,1530,1450,1400,1370,1320,1050,1190,1280,1400,1550,1610,1650,
